path,size,gen,kind,instr_valid,instr_total,fm,midi,syn02,syn04,syn08,track_count,max_fill,row_count,tempo,speed
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/NOFLY.RLD,59024,4,Adlib,41,41,41,0,0,41,0,8,8,43,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/AIRSUPER/ALL.LAP,82080,4,Adlib,45,45,45,0,0,45,0,8,8,62,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/AIRSUPER/ALL2.LAP,81994,4,Adlib,45,45,45,0,0,45,0,8,8,62,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/ANTIARMR/ALL.LAP,85672,4,Adlib,45,45,45,0,0,45,0,8,8,78,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/ANTIARMR/ANTIARM.INS,15016,4,Adlib,45,45,45,0,0,45,0,7,1,1,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/ANTIARMR/BANK1.LAP,21498,4,Unknown,0,1,0,0,0,0,0,8,8,20,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/ANTIARMR/BANK2.LAP,52636,4,Unknown,0,1,0,0,0,0,0,8,8,58,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/ANTIARMR/COLIN.LAP,85672,4,Adlib,45,45,45,0,0,45,0,8,8,78,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/ANTIARMR/COLIN2.LAP,72446,4,Unknown,0,1,0,0,0,0,0,8,8,78,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/CLOSEAIR/ALL.LAP,92158,4,Adlib,52,52,52,0,0,52,0,11,11,83,2,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/CLOSEAIR/ALL2.LAP,90982,4,Adlib,48,48,48,0,0,48,0,11,11,83,2,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/SEP/DEFSSUPR/ALL.LAP,88244,4,Adlib,52,52,52,0,0,52,0,8,8,86,50,6
